"FDP Form 4a - Annual Procurement Plan or Procurement List, by Office or Department",,,,,,,,,,,,,
,,,,,,,,,,,,,
ANNUAL PROCUREMENT PLAN,,,,,,,,,,,,,
,,,,,,,,,,,,,
REGION: IV A,,,CALENDAR YEAR:,,2026,,,,,,,,
PROVINCE: Batangas,,,,,,,,,,,,,
CITY/MUNICIPALITY:,,,,,,,,,,,,,
,,,,,,,,,,,,,
Code (PAP),"Procurement
Project","PMO/
End-User",Is this an Early Procurement Activity? (Yes/No),Mode of Procurement,Schedule for Each Procurement Activity,,,,Source of Funds,Estimated Budget (PhP),,,"Remarks
(brief description of Project)"
,,,,,Advertisement/Posting of IB/REI,Submission/Opening of Bids,Notice of Award,Contract Signing,,Total,MOOE,CO,
5 02 03 990,Other Supplies & Materials Expenses,GSO,NO, BIDDING/ SMALL VALUE ,January-December,January-December,January-December,January-December,GF,,,,
,Ink T6733,,,,,,,,," 3,532.50 "," 3,532.50 ",,
,Ink T6734,,,,,,,,," 3,532.50 "," 3,532.50 ",,
,Ink T6735,,,,,,,,," 3,532.50 "," 3,532.50 ",,
,Ink T6736,,,,,,,,," 3,532.50 "," 3,532.50 ",,
,Ink 001 black,,,,,,,,," 3,125.00 "," 3,125.00 ",,
,Ink 001 yellow,,,,,,,,," 2,000.00 "," 2,000.00 ",,
,Ink 001 magenta,,,,,,,,," 2,000.00 "," 2,000.00 ",,
,Ink 001 cyan,,,,,,,,," 2,000.00 "," 2,000.00 ",,
,Ink HP 678 Black,,,,,,,,," 11,865.00 "," 11,865.00 ",,
,Ink HP 678 Colored,,,,,,,,," 11,865.00 "," 11,865.00 ",,
,Ink GT52 Cyan,,,,,,,,," 1,560.00 "," 1,560.00 ",,
,Ink GT52 Magenta,,,,,,,,," 1,560.00 "," 1,560.00 ",,
,Ink GT52 Yellow,,,,,,,,," 1,560.00 "," 1,560.00 ",,
,Ink GT52 Black,,,,,,,,," 1,560.00 "," 1,560.00 ",,
,Ink  T6641 black,,,,,,,,," 29,840.00 "," 29,840.00 ",,
,Ink #T6642 Cyan,,,,,,,,," 15,240.00 "," 15,240.00 ",,
,Ink #T6643 Magenta,,,,,,,,," 15,240.00 "," 15,240.00 ",,
,Ink #T6644 Yellow,,,,,,,,," 1,143.00 "," 1,143.00 ",,
,Ink Epson 003 black,,,,,,,,," 93,250.00 "," 93,250.00 ",,
,Ink Epson 003 cyan ,,,,,,,,," 36,195.00 "," 36,195.00 ",,
,Ink Epson 003 magenta,,,,,,,,," 36,195.00 "," 36,195.00 ",,
,Ink Epson 003 yellow,,,,,,,,," 36,195.00 "," 36,195.00 ",,
,Ink Epson C13T05A100,,,,,,,,," 31,000.00 "," 31,000.00 ",,
,Ink Epson C13T05A200,,,,,,,,," 25,464.00 "," 25,464.00 ",,
,Ink Epson C13T05A300,,,,,,,,," 25,464.00 "," 25,464.00 ",,
,Ink Epson C13T05A400,,,,,,,,," 25,464.00 "," 25,464.00 ",,
,Ink Epson 008 Black,,,,,,,,," 3,582.00 "," 3,582.00 ",,
,Ink Epson 008 Cyan,,,,,,,,," 2,850.00 "," 2,850.00 ",,
,Ink Epson 008 Magenta,,,,,,,,," 2,850.00 "," 2,850.00 ",,
,Ink Epson 008 Yellow,,,,,,,,," 2,850.00 "," 2,850.00 ",,
,Magnetic Sheet 3's,,,,,,,,," 2,900.00 "," 2,900.00 ",,
,Tabbings (insert),,,,,,,,," 1,000.00 "," 1,000.00 ",,
,Toner MX-237-FT,,,,,,,,," 66,000.00 "," 66,000.00 ",,
,Toner for KYOCERA-Taskalfa 4012i,,,,,,,,," 880,000.00 "," 880,000.00 ",,
,Toner for Ineo 165en/TN116,,,,,,,,," 21,720.00 "," 21,720.00 ",,
,Toner for Ineo 225i,,,,,,,,," 43,440.00 "," 43,440.00 ",,
,Self Inking Stamp,,,,,,,,," 6,250.00 "," 6,250.00 ",,
,Magazine File Box/Data File Box,,,,,,,,," 3,870.00 "," 3,870.00 ",,
,"Notepad 1""x3"" 100s",,,,,,,,, 365.00 , 365.00 ,,
,"Notepad 2""x2"" (100's)",,,,,,,,, 295.00 , 295.00 ,,
,"Notepad 3""x3"" (100's)",,,,,,,,, 680.00 , 680.00 ,,
,"Notepad 3""x4"" (100's)",,,,,,,,, 815.00 , 815.00 ,,
,"Notepad 3""x5"" (100's)",,,,,,,,, 960.00 , 960.00 ,,
,Numbering  Machine,,,,,,,,," 17,500.00 "," 17,500.00 ",,
,"Customized Notepad, (8.5""x5.5"")",,,,,,,,," 4,200.00 "," 4,200.00 ",,
,Payroll Paper,,,,,,,,," 50,000.00 "," 50,000.00 ",,
,Packaging Tape Big,,,,,,,,," 3,800.00 "," 3,800.00 ",,
,"Paper Clip, small",,,,,,,,, 600.00 , 600.00 ,,
,"Paper Clip, big",,,,,,,,," 1,300.00 "," 1,300.00 ",,
,Permanent Marker Black,,,,,,,,," 5,200.00 "," 5,200.00 ",,
,Permanent Marker Blue,,,,,,,,," 2,600.00 "," 2,600.00 ",,
,Permanent Marker White,,,,,,,,, 450.00 , 450.00 ,,
,Pencil,,,,,,,,," 18,000.00 "," 18,000.00 ",,
,Mouse Pad,,,,,,,,," 3,990.00 "," 3,990.00 ",,
,Puncher HD Steel,,,,,,,,," 18,870.00 "," 18,870.00 ",,
,Record Book 150 pages,,,,,,,,," 7,650.00 "," 7,650.00 ",,
,Record Book 300 pages,,,,,,,,," 16,120.00 "," 16,120.00 ",,
,Record Book 500 pages,,,,,,,,," 17,100.00 "," 17,100.00 ",,
,"Ring File folder,long, vertical",,,,,,,,," 7,680.00 "," 7,680.00 ",,
,Ruler small,,,,,,,,, 320.00 , 320.00 ,,
,Rubber Band Big,,,,,,,,," 1,400.00 "," 1,400.00 ",,
,Rubber Band Small,,,,,,,,, 200.00 , 200.00 ,,
,Scissor,,,,,,,,, 720.00 , 720.00 ,,
,"Scissor 6""",,,,,,,,, 900.00 , 900.00 ,,
,"Scissor 8""",,,,,,,,," 2,600.00 "," 2,600.00 ",,
,Transparent Tape,,,,,,,,," 2,400.00 "," 2,400.00 ",,
,Sign Pen .5 Black,,,,,,,,," 3,400.00 "," 3,400.00 ",,
,Sign Pen .5 Blue,,,,,,,,," 3,400.00 "," 3,400.00 ",,
,Sign Pen .7 Red,,,,,,,,, 860.00 , 860.00 ,,
,Sign Pen  blue 1.0,,,,,,,,," 13,000.00 "," 13,000.00 ",,
,Sign Pen  black 1.0,,,,,,,,," 13,000.00 "," 13,000.00 ",,
,Sharpener,,,,,,,,," 2,750.00 "," 2,750.00 ",,
,Highlighter,,,,,,,,," 1,800.00 "," 1,800.00 ",,
,Staple wire #35,,,,,,,,," 8,000.00 "," 8,000.00 ",,
,Stapler w/ remover,,,,,,,,," 106,200.00 "," 106,200.00 ",,
,Stamp Pad,,,,,,,,," 2,080.00 "," 2,080.00 ",,
,"Tape Masking 1""",,,,,,,,," 1,400.00 "," 1,400.00 ",,
,USB Flash Drive 32GB,,,,,,,,," 5,100.00 "," 5,100.00 ",,
,USB Flash Drive 64GB,,,,,,,,," 8,350.00 "," 8,350.00 ",,
,USB Flash Drive OTG 16GB,,,,,,,,," 6,870.00 "," 6,870.00 ",,
,USB Flash Drive 16GB,,,,,,,,," 4,950.00 "," 4,950.00 ",,
,USB Flash Drive 8GB,,,,,,,,," 4,910.00 "," 4,910.00 ",,
,8GB Micro SD card,,,,,,,,," 1,562.50 "," 1,562.50 ",,
,Write 4 all pen,,,,,,,,," 2,000.00 "," 2,000.00 ",,
,White board 18 X 24,,,,,,,,," 3,600.00 "," 3,600.00 ",,
,White board marker black,,,,,,,,," 1,360.00 "," 1,360.00 ",,
5 02 13 020,Repair & Maint. - Land Improvements,,, BIDDING/ SMALL VALUE ,January-December,January-December,January-December,January-December,GF," 75,000.00 "," 75,000.00 ",,
5 02 13 050,Repair & Maint. - Machinery and Equipment,,, BIDDING/ SMALL VALUE ,January-December,January-December,January-December,January-December,GF," 1,580,000.00 "," 1,580,000.00 ",,
